method,base_method,rms_delta_HGL_m,max_abs_delta_HGL_m,end_delta_HGL_m,mean_delta_HGL_m
darcy,darcy,0.0,0.0,0.0,0.0
manning,darcy,0.0916603379504233,0.12212768681988831,-0.12212768681988831,-0.07721060928213361
hazen,darcy,0.03504192169125826,0.04439799993780764,-0.04439799993780764,-0.029346310443999313
