method,Q_m3s,total_headloss_m,mean_velocity_mps,max_velocity_mps,mean_Re,max_Re,mean_pressure_head_m,max_pressure_head_m,mean_energy_head_m,max_energy_head_m,mean_friction_slope,max_friction_slope
darcy,0.29571537660646297,0.044567273588813454,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.448471886358341,0.0,-11.44554468010012,0.00015496532110091752,6.53854283000659e-05,0.000911444751642206
manning,0.29571537660646297,0.16669496040870177,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.525682495640474,0.0,-11.522755289382257,0.00015496532110091752,0.0008149456249183277,0.013032620018499301
hazen,0.29571537660646297,0.08896527352662109,0.19515492564453768,0.714777777777778,233707.3319796356,568534.821326244,-11.477818196802342,0.0,-11.474890990544123,0.00015496532110091752,0.00033160939481514706,0.006981139844335754
