s_m,x_m,y_m,z_m,A_m2,Rh_m,De_m
0.0,0.0,0.0,0.0,5.362991958767916,0.6446281310050883,2.5785125240203532
3.93192,3.4714947324074408,-1.7611897970040784,0.5540123718800201,5.362991958767916,0.6446281310050883,2.5785125240203532
8.10768,7.396128876157855,-3.036380730816755,1.192844507601455,4.631873871327719,0.4943658724842413,1.9774634899369652
11.46048,8.938505952866572,-5.877085925984263,2.0832010583112277,1.3542466769351365,0.29365120810896833,1.1746048324358733
15.60576,12.653758328690628,-7.546786548064682,2.852841165736753,1.4024041557485627,0.30638839176358346,1.2255535670543338
21.42744,15.62818609743924,-2.6354225423629147,3.813695511823743,1.593574753462467,0.23909612386987786,0.9563844954795114
24.93264,19.019197266708098,-3.1240747166151737,4.554431188359171,1.01130705508195,0.23464224635265188,0.9385689854106075
27.85872,20.3304653442021,-0.615850221868143,5.296947234849879,3.5476009392557293,0.38150384525033415,1.5260153810013366
35.17392,22.33908628283666,6.29786839688253,6.592357527235695,0.5311915844874889,0.14621301257928662,0.5848520503171465
41.39184,28.516411157528072,6.448838964985126,7.285462430180051,0.413716522533525,0.10468320819335161,0.41873283277340645
48.43272,34.320680159611825,3.204942664684705,9.600973025868807,5.089369920055267,0.6309201635081545,2.523680654032618
52.09032,37.715989740224245,3.7244980397965763,10.857942724785158,1.5658477202062515,0.30288976238218357,1.2115590495287343
54.955439999999996,40.53484879713693,3.408312335814912,11.261641662434165,0.9792020692063325,0.23334239708899487,0.9333695883559795
59.58839999999999,45.11747083560114,4.027907144611169,11.544477104157576,1.1492125625931253,0.23133750754456509,0.9253500301782603
64.008,48.75639849470992,6.145813616879507,12.888181620223872,1.7978792090345777,0.3741653879186487,1.4966615516745947
67.75703999999999,52.418706174727006,5.453813396811951,13.29307552473998,2.2407820823641185,0.376069828589627,1.504279314358508
70.92696,54.98123345865111,7.281646344731958,13.668406631954124,1.6599737015234026,0.2760528891047093,1.1042115564188373
73.7616,57.61023250630191,8.280309399842219,13.313132034763404,1.5366613694102356,0.2883943609092671,1.1535774436370685
75.2856,57.12591052040115,9.711177069756491,13.11157329601155,1.6278687156477851,0.25814662294232094,1.0325864917692837
76.53528,58.279967976690706,9.852877507783727,13.56958254902437,2.239322764824318,0.3510050471809253,1.4040201887237012
81.04632,60.47521055172974,13.579659865401931,14.850787129597553,1.568766355285853,0.2740723394961439,1.0962893579845756
83.05799999999999,62.31155234419446,14.385757554693356,14.692952535903762,2.4188188222198153,0.39375653235130664,1.5750261294052266
88.02624,67.12324169882655,14.951001144965389,15.793658643716704,2.3071810304250544,0.35975208524183816,1.4390083409673526
96.4692,75.27368287867156,14.82296378347069,17.99308779000624,1.1908031124774474,0.25551134194586966,1.0220453677834787
104.66832,81.97259788944623,10.685629547805313,20.280569347354604,2.753732197604098,0.3920397766959841,1.5681591067839364
111.67871999999998,88.42880910600661,13.125228471917346,21.50996024394987,1.681133805850514,0.34434666549637105,1.3773866619854842
115.85448,92.46526975336593,13.822446290292627,22.32103627840018,1.2681469420868898,0.24251885297181883,0.9700754118872753
121.55424,97.36017485761032,16.524579079947344,23.428125464109726,1.9153542709885418,0.3519476767704842,1.4077907070819369
127.01015999999998,100.81986868119584,20.721523292417768,23.000058914546262,3.7825510631636576,0.5165199982445565,2.066079992978226
