method,s_m,x_m,y_m,z_m,A_m2,Rh_m,De_m,Q_m3s,HGL_m,EGL_m,V_mps,Re,f_darcy,Sf,relative_roughness,hf_minor_m
manning,0.0,0.0,0.0,0.0,5.362991958767916,0.6446281310050883,2.5785125240203532,0.29571537660646297,0.0,0.00015496532110091752,0.055140000000000015,142179.1805744823,,1.1056378030771021e-05,,0.0
manning,3.93192,3.4714947324074408,-1.7611897970040784,0.5540123718800201,5.362991958767916,0.6446281310050883,2.5785125240203532,0.29571537660646297,-4.347279390674919e-05,0.00011149252719416832,0.055140000000000015,142179.1805744823,,1.1056378030771021e-05,,0.0
manning,8.10768,7.396128876157855,-3.036380730816755,1.192844507601455,4.631873871327719,0.4943658724842413,1.9774634899369652,0.29571537660646297,-0.0001691965028572925,3.85507848677588e-05,0.06384357277882799,135521.57590882134,,1.5182750597023752e-05,,6.232418631751539e-05
manning,11.46048,8.938505952866572,-5.877085925984263,2.0832010583112277,1.3542466769351365,0.29365120810896833,1.1746048324358733,0.29571537660646297,-0.0013662563773210788,0.0010640065105096041,0.21836153017241383,222382.4413561437,,0.00013957916013916178,,0.0007290788663492048
manning,15.60576,12.653758328690628,-7.546786548064682,2.852841165736753,1.4024041557485627,0.30638839176358346,1.2255535670543338,0.29571537660646297,-0.003292649417067757,-0.0010264275176268367,0.21086316337148805,257551.81336950161,,0.00046437398143231424,,1.4328619949344002e-06
manning,21.42744,15.62818609743924,-2.6354225423629147,3.813695511823743,1.593574753462467,0.23909612386987786,0.9563844954795114,0.29571537660646297,-0.005927606609092991,-0.004172498266372726,0.1855673076923077,216246.68349057954,,0.0004498100813242636,,1.6306837781394523e-05
manning,24.93264,19.019197266708098,-3.1240747166151737,4.554431188359171,1.01130705508195,0.23464224635265188,0.9385689854106075,0.29571537660646297,-0.010001166005522293,-0.005643211038841304,0.29240909090909095,226435.76007826085,,0.0007891626459046574,,0.001307386490004297
manning,27.85872,20.3304653442021,-0.615850221868143,5.296947234849879,3.5476009392557293,0.38150384525033415,1.5260153810013366,0.29571537660646297,-0.01212016638146684,-0.011766022869606787,0.0833564376799671,231526.46179927824,,0.0003435531806979819,,0.0011137362849677958
manning,35.17392,22.33908628283666,6.29786839688253,6.592357527235695,0.5311915844874889,0.14621301257928662,0.5848520503171465,0.29571537660646297,-0.025823658910622257,-0.01002768382613987,0.5567019230769231,337769.586966204,,0.0012254893924719351,,0.004738792525344716
manning,41.39184,28.516411157528072,6.448838964985126,7.285462430180051,0.413716522533525,0.10468320819335161,0.41873283277340645,0.29571537660646297,-0.11467148536817387,-0.08863135939442573,0.714777777777778,319009.45173356915,,0.013032620018499301,,0.0078120377921244415
manning,48.43272,34.320680159611825,3.204942664684705,9.600973025868807,5.089369920055267,0.6309201635081545,2.523680654032618,0.29571537660646297,-0.13374057242777457,-0.13356849624048664,0.05810451612903227,568534.821326244,,0.0011475548822773975,,0.010989290840071409
manning,52.09032,37.715989740224245,3.7244980397965763,10.857942724785158,1.5658477202062515,0.30288976238218357,1.2115590495287343,0.29571537660646297,-0.1345976876432758,-0.13277987230570193,0.1888532152842498,230611.58086908297,,8.523912243795106e-05,,0.000545344601272159
manning,54.955439999999996,40.53484879713693,3.408312335814912,11.261641662434165,0.9792020692063325,0.23334239708899487,0.9333695883559795,0.29571537660646297,-0.1380135561166846,-0.13336514889745404,0.30199627421758574,263209.2817308948,,0.0007055014476320814,,0.0013945221657691628
manning,59.58839999999999,45.11747083560114,4.027907144611169,11.544477104157576,1.1492125625931253,0.23133750754456509,0.9253500301782603,0.29571537660646297,-0.14320138716776395,-0.1398265868415662,0.25731999999999994,259903.03296342577,,0.0011087869021351238,,5.0865684963428176e-05
manning,64.008,48.75639849470992,6.145813616879507,12.888181620223872,1.7978792090345777,0.3741653879186487,1.4966615516745947,0.29571537660646297,-0.1453791937796231,-0.1440003095909467,0.16448011363636367,255401.19011353076,,0.0004430609247282894,,0.00021965454892999224
manning,67.75703999999999,52.418706174727006,5.453813396811951,13.29307552473998,2.2407820823641185,0.376069828589627,1.504279314358508,0.29571537660646297,-0.1460226729452172,-0.14513500698562967,0.1319697167046565,222407.10264973686,,0.00016445390141694516,,2.6934911025921396e-05
manning,70.92696,54.98123345865111,7.281646344731958,13.668406631954124,1.6599737015234026,0.2760528891047093,1.1042115564188373,0.29571537660646297,-0.14719561296565506,-0.14557810511700406,0.17814461538461543,202232.6010380199,,0.00021694164705814202,,0.000485252354595299
manning,73.7616,57.61023250630191,8.280309399842219,13.313132034763404,1.5366613694102356,0.2883943609092671,1.1535774436370685,0.29571537660646297,-0.14882645503513237,-0.14693893111099973,0.192440170940171,209175.56353804277,,0.0003755626436646321,,0.0005662571772397895
manning,75.2856,57.12591052040115,9.711177069756491,13.11157329601155,1.6278687156477851,0.25814662294232094,1.0325864917692837,0.29571537660646297,-0.14943829651102344,-0.1477563582189899,0.18165800089645903,204459.9828926722,,0.0003995267751837865,,2.96267051099693e-06
manning,76.53528,58.279967976690706,9.852877507783727,13.56958254902437,2.239322764824318,0.3510050471809253,1.4040201887237012,0.29571537660646297,-0.14980483189810084,-0.148916008616655,0.1320557184750733,191099.2360957443,,0.0002431297675712802,,6.270097913891211e-05
manning,81.04632,60.47521055172974,13.579659865401931,14.850787129597553,1.568766355285853,0.2740723394961439,1.0962893579845756,0.29571537660646297,-0.15145455749377776,-0.1496434998281911,0.18850186046511633,200373.29372346206,,0.0002452667890333296,,0.0005433172996759967
manning,83.05799999999999,62.31155234419446,14.385757554693356,14.692952535903762,2.4188188222198153,0.39375653235130664,1.5750261294052266,0.29571537660646297,-0.1519909377704615,-0.15122913572717142,0.1222561085972851,207533.1438965485,,0.0002110389699351393,,0.0001118374016446041
