s_m,HGL_p05_m,HGL_p50_m,HGL_p95_m,V_p05_mps,V_p50_mps,V_p95_mps
0.0,0.0,0.0,0.0,0.04967178607857583,0.055295254749296974,0.062111963373545666
3.93192,-6.440246975392441e-05,-4.096487187266594e-05,-4.717376161567602e-06,0.049209787058306184,0.05544958013122417,0.061962033410345535
8.10768,-0.00014609952143968753,-9.530514029511066e-05,-6.38898296944125e-05,0.057216842564665166,0.0637804098019964,0.07190954972347681
11.46048,-0.001117058837684492,-0.0008803178273167791,-0.0007101931084559873,0.19583144455728327,0.21920696234614162,0.24703146956652178
15.60576,-0.0019720221782296757,-0.0011710517607337627,-0.0009233579764117087,0.18866995827065275,0.21175429801099438,0.23891474654882755
21.42744,-0.002313075406415009,-0.0014574114945290748,-0.0011437378981058927,0.16656205329942916,0.18573940152061374,0.20808307741835635
24.93264,-0.004079506325255607,-0.003091281671588831,-0.002468069875005373,0.2615927329028412,0.29284953929794777,0.3290043785745488
27.85872,-0.005597474105762124,-0.00432560762450812,-0.0034384810070795854,0.07434292789460983,0.08344377415130239,0.09399872915918543
35.17392,-0.0122139721360349,-0.009909333512911584,-0.008213831755606651,0.49847851530952353,0.5580137762604112,0.627588893260972
41.39184,-0.028286948787242274,-0.023428286884344805,-0.019503814411268354,0.6378343887575709,0.7158337278171278,0.8047580520506713
48.43272,-0.04280689785052904,-0.03519682960781452,-0.02894108208295682,0.05188044907385788,0.05820557650209403,0.06588176682880387
52.09032,-0.04344037142016254,-0.03575711794407095,-0.02942706578666987,0.16917303728988853,0.18876641330089966,0.213997732728006
54.955439999999996,-0.04521934250374844,-0.037349746617867566,-0.030752108352331924,0.2703733804360709,0.30281769336110415,0.34138540405418916
59.58839999999999,-0.04575539841633335,-0.03788494355444417,-0.03142231916721025,0.22965669574677106,0.25817361493247504,0.2900135441196919
64.008,-0.04623926706531855,-0.03833720213509988,-0.03173651105294237,0.14661654098802188,0.1647528039666349,0.18597269013087725
67.75703999999999,-0.04635420028444517,-0.038421352770904915,-0.03181218932570466,0.11859511240419641,0.1317874367329237,0.14886962376083102
70.92696,-0.04702415057084665,-0.038986365048701774,-0.03236806510529623,0.1601671955203692,0.17871855104481932,0.2010710315470923
73.7616,-0.04765104345943589,-0.03952559063337463,-0.03285985320497464,0.17304459101451844,0.19197159766065677,0.2152190484900117
75.2856,-0.04796748167834617,-0.03981333967275419,-0.03294328746777977,0.1625779828857125,0.18219557471507278,0.20446131351633387
76.53528,-0.048079100425315414,-0.03989965264564654,-0.03303012013324817,0.11840880371363957,0.13198665527677245,0.14837625612370167
81.04632,-0.04884346414323876,-0.04054942064734298,-0.033604741131190885,0.16956533396279858,0.18854585032129106,0.21155315180772152
83.05799999999999,-0.04899855183465965,-0.04070689585768349,-0.03368199884883414,0.10865998450491694,0.1222105141048998,0.13724021973099032
88.02624,-0.04920586426034457,-0.040939579483952895,-0.03381473051299505,0.1147537144591227,0.1282977926963402,0.14482947013772363
96.4692,-0.050642569553246086,-0.042208160172681405,-0.03485755524700506,0.22335837183109464,0.24900826082641267,0.28133143714478853
104.66832,-0.0514964827167627,-0.042926095174819406,-0.03551382595506186,0.09615062436137677,0.10788910017984882,0.12069107175051424
111.67871999999998,-0.0521208304438019,-0.04347527515719064,-0.03607179009878731,0.1581161911175832,0.1765936764375717,0.19847412423021907
115.85448,-0.05329205654243745,-0.04448691282033182,-0.036964674495351034,0.21074892450456928,0.23309412579160776,0.2622454800612333
121.55424,-0.05375904248971155,-0.044860946530511654,-0.03730396017212567,0.13835370250873788,0.1547492018511357,0.1733205289261842
127.01015999999998,-0.0539465721776828,-0.04507378062557772,-0.03745371171240242,0.06962882641293901,0.07814772122416541,0.08836461790913941
